cell	metric	cgi	trend_change	days_available	days_modified	timestamp	timespan	year	month	day
CARTAYA_NORTE_210012901_010	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CEREZO_400000901_043	pct_bcr	2,1407E+14	null	null	4	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CIELO_EB_110015202_020	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CUMBRES_MAYORES_CT_210011301_013	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ESCACENA_EB_210011101_031	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
FUENTE_CARRETEROS_EB_140027201_021	volte_traffic_er	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
GUARO_EB_290017301_023	pct_volte_dcr	2,1407E+14	null	null	20	2026-02-27T00:00:00.000+00:00	1	2026	2	27
LA_CORTINA_330019901_010	pct_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
LORA_HACHO_EB_410008801_021	pct_bcr	2,1407E+14	null	null	15	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MIRADOR_CALAHONDA_290075201_041	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ONDA_LA_COSA_120053001_031	pct_volte_dcr	2,1407E+14	null	null	11	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ORENSE_ER_320000701_181_B3_SP	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
PM_SA_POBLA_PEU_BLANC_070064701_022	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
VIRGEN_DE_LOS_DOLORES_140072501_022	pct_volte_dcr	2,1407E+14	null	null	20	2026-02-27T00:00:00.000+00:00	1	2026	2	27
COR_PARKING_PARROTE_150250501_011	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
JIJONA_TURRON_EB_030015801_010	volte_traffic_er	2,1407E+14	null	null	2	2026-02-27T00:00:00.000+00:00	1	2026	2	27
POLIGONO_S_CRISTOBAL_470004801_013	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CAMBRE_DEPOSITO_150059501_031	volte_traffic_er	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
EL_EJIDO_ROQUESOL_040016502_050	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ARROYO_MIEL_EB_290010501_011	volte_traffic_er	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ONTINYENT_GIL_460033302_021	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BLANCA_EB_300006201_033	pct_bcr	2,1407E+14	null	null	3	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FERROL_BELEICON_150170701_023	pct_bcr	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
GUARO_EB_290017301_023	avg_cell_ul_throughput	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ONDA_LA_COSA_120053001_031	pct_nsa_data_bcr	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CUBILLAS_REPSOL_EB_470004201_033	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ONDA_LA_COSA_120053001_031	pct_bcr_volte	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FUENTE_CARRETEROS_EB_140027201_021	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ARCHIDONA_MERCADONA_290164701_011	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BEDMAR_Y_GARCIEZ_230009401_033	pct_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CAMBRE_DEPOSITO_150059501_031	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CIELO_EB_110015202_020	volte_traffic_er	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FUENTE_CARRETEROS_EB_140027201_021	pct_bcr	2,1407E+14	null	null	7	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ARROYO_MIEL_EB_290010501_011	pct_bcr_volte	2,1407E+14	null	null	3	2026-03-02T00:00:00.000+00:00	1	2026	3	2
AVILES_BUENAVISTA_EB_330020501_013	pct_volte_dcr	2,1407E+14	null	null	8	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FERROL_BELEICON_150170701_023	pct_bcr	2,1407E+14	null	null	2	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ONDA_LA_COSA_120053001_031	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
GUARO_EB_290017301_023	avg_cell_ul_throughput	2,1407E+14	null	null	1	2026-02-27T00:00:00.000+00:00	1	2026	2	27
BOLLULLOS_MITACION_EB_410002801_022	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
V_JESUS_CT_460001301_013	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ONTINYENT_GIL_460033302_021	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
LORA_HACHO_EB_410008801_021	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PM_SA_POBLA_PEU_BLANC_070064701_022	pct_bcr_volte	2,1407E+14	null	null	5	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PAJARES_LAGUNA_EB_370003201_013	pct_volte_dcr	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CABO_ROIG_P_DEPOR_030053702_020	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
POLIGONO_S_CRISTOBAL_470004801_013	pct_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BLANCA_EB_300006201_033	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ESCACENA_EB_210011101_031	avg_cell_dl_throughput	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ACEBAL_EB_330013301_013	avg_cell_dl_throughput	2,1407E+14	null	null	1	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ARCHIDONA_MERCADONA_290164701_011	pct_bcr	2,1407E+14	null	null	1	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MIRADOR_CALAHONDA_290075201_041	avg_cell_ul_throughput	2,1407E+14	null	null	5	2026-02-27T00:00:00.000+00:00	1	2026	2	27
PM_POLIGON_SON_OMS_070106601_010	avg_cell_ul_throughput	2,1407E+14	null	null	4	2026-02-27T00:00:00.000+00:00	1	2026	2	27
AVILES_BUENAVISTA_EB_330020501_013	volte_traffic_er	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
PAJARES_LAGUNA_EB_370003201_013	avg_cell_dl_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CARTAYA_NORTE_210012901_010	pct_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ONDA_LA_COSA_120053001_031	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ORENSE_ER_320000701_181_B3_SP	volte_traffic_er	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
MIRADOR_CALAHONDA_290075201_041	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
EL_EJIDO_ROQUESOL_040016502_050	pct_bcr_volte	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
