cell	metric	cgi	historical_days_available	insufficient_history	activity_criteria	modulator_kpi	value_modulator_kpi	insufficient_rops	num_rops_available	timestamp	timespan	year	month	day
LA_MAGDALENA_230017401_182_B3_SP	pct_volte_dcr	2,1407E+14	null	false	true	lte_volte_calls >= 500	249	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
LA_MAGDALENA_230017401_182_B3_SP	volte_traffic_er	2,1407E+14	null	false	true	volte_traffic_er <= 0.5	5.770.833.333.333.330	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MAZAGON_EB_210003701_222_B1_SP	avg_cell_dl_throughput	2,1407E+14	null	false	true	avg_cell_dl_throughput <= 3000	20.054.653.922.819.600	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MAZAGON_EB_210003701_222_B1_SP	avg_cell_ul_throughput	2,1407E+14	null	false	true	avg_cell_ul_throughput <= 800	14.029.834.750.645.800	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MAZAGON_EB_210003701_222_B1_SP	pct_bcr	2,1407E+14	null	false	true	lte_rrc_attempts >= 20000	7366	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MAZAGON_EB_210003701_222_B1_SP	pct_bcr_volte	2,1407E+14	null	false	true	lte_volte_calls >= 500	22	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MAZAGON_EB_210003701_222_B1_SP	pct_nsa_data_bcr	2,1407E+14	null	false	true	nr_add_attempts >= 4000	630	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MAZAGON_EB_210003701_222_B1_SP	pct_volte_dcr	2,1407E+14	null	false	true	lte_volte_calls >= 500	22	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
MAZAGON_EB_210003701_222_B1_SP	volte_traffic_er	2,1407E+14	null	false	true	volte_traffic_er <= 0.5	4.786.944.444.444.440	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
A_PARQUE_LO_MORANT_030065601_183_B3_SP	avg_cell_dl_throughput	2,1407E+14	null	false	true	avg_cell_dl_throughput <= 3000	17.893.665.897.122.300	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
